sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,priors_count_cat,c_days_from_compas,c_charge_degree,two_year_recid
Female,39,25 - 45,Caucasian,0,0,0,0,None,1,F,0
Male,24,Less than 25,Caucasian,0,1,2,8,High,0,F,0
Male,30,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,31,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Female,39,25 - 45,Caucasian,0,0,0,1,Low,1,F,1
Male,59,Greater than 45,African-American,0,0,0,14,High,265,F,0
Male,43,25 - 45,Caucasian,0,0,0,1,Low,30,F,1
Male,21,Less than 25,African-American,0,0,0,3,Low,1,F,0
Male,38,25 - 45,Caucasian,0,0,0,5,Moderate,1,M,0
Male,34,25 - 45,Caucasian,0,0,0,0,None,0,F,1
Male,33,25 - 45,African-American,0,0,0,5,Moderate,1,F,0
Male,37,25 - 45,African-American,0,0,0,3,Low,0,F,1
Male,42,25 - 45,Caucasian,0,0,0,1,Low,1,F,0
Male,41,25 - 45,African-American,0,1,0,10,High,0,F,0
Male,22,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,33,25 - 45,African-American,0,12,2,28,High,1,F,0
Male,31,25 - 45,African-American,0,0,0,1,Low,1,M,1
Female,30,25 - 45,Other,0,0,0,1,Low,1,F,1
Male,31,25 - 45,Caucasian,0,0,0,13,High,0,F,0
Male,27,25 - 45,African-American,0,0,0,3,Low,1,F,0
Male,56,Greater than 45,African-American,0,0,0,8,High,79,F,1
Male,52,Greater than 45,Caucasian,0,0,0,3,Low,2,M,1
Male,33,25 - 45,African-American,0,0,0,19,High,1,F,0
Female,64,Greater than 45,Caucasian,0,0,0,2,Low,48,M,1
Male,22,Less than 25,Caucasian,0,0,0,4,Moderate,36,F,0
Male,42,25 - 45,Caucasian,0,0,0,6,Moderate,5,F,1
Female,25,25 - 45,Caucasian,0,0,0,2,Low,1,F,1
Male,30,25 - 45,Caucasian,0,0,0,1,Low,20,M,1
Male,28,25 - 45,Caucasian,0,0,0,2,Low,161,F,1
Female,37,25 - 45,Other,0,0,0,2,Low,222,M,1
Male,28,25 - 45,Caucasian,0,0,0,0,None,1,M,0
Female,24,Less than 25,African-American,0,0,0,0,None,1,M,1
Female,29,25 - 45,Caucasian,0,1,0,10,High,1,F,0
Male,44,25 - 45,Caucasian,0,0,0,2,Low,1,M,0
Female,30,25 - 45,Hispanic,0,0,0,4,Moderate,36,F,0
Male,32,25 - 45,African-American,0,0,0,3,Low,1,F,0
Male,31,25 - 45,Caucasian,0,0,0,2,Low,16,M,0
Male,31,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,59,Greater than 45,Caucasian,0,0,0,1,Low,1,F,0
Female,45,Greater than 45,Caucasian,0,0,0,4,Moderate,375,F,1
Female,20,Less than 25,African-American,1,0,0,1,Low,0,F,1
Female,43,25 - 45,Caucasian,0,0,0,0,None,0,M,1
Male,38,25 - 45,African-American,1,1,0,9,High,1,F,0
Male,32,25 - 45,African-American,0,0,0,11,High,2,F,0
Male,33,25 - 45,African-American,0,0,0,8,High,1,M,0
Female,31,25 - 45,African-American,0,0,0,0,None,1,F,0
Female,33,25 - 45,African-American,0,0,0,7,High,1,F,0
Male,27,25 - 45,African-American,0,0,0,2,Low,1,F,0
Female,20,Less than 25,African-American,0,0,0,0,None,1,F,1
Female,26,25 - 45,Caucasian,0,0,0,0,None,2,M,1
Female,61,Greater than 45,African-American,0,0,0,1,Low,1,F,0
Male,52,Greater than 45,Other,0,0,0,13,High,1,F,0
Male,63,Greater than 45,Hispanic,0,0,0,1,Low,26,F,1
Female,32,25 - 45,African-American,0,0,0,4,Moderate,7,F,0
Male,29,25 - 45,Hispanic,0,0,0,1,Low,1,F,1
Female,46,Greater than 45,Other,0,0,0,1,Low,72,F,1
Female,26,25 - 45,African-American,0,0,0,2,Low,1,M,0
Male,55,Greater than 45,African-American,0,0,0,3,Low,52,M,1
Male,39,25 - 45,Caucasian,1,0,0,1,Low,1672,M,1
Female,30,25 - 45,Caucasian,0,0,0,3,Low,1,F,0
Male,30,25 - 45,African-American,0,0,0,1,Low,1,F,1
Male,48,Greater than 45,Caucasian,0,0,0,2,Low,1,M,1
Male,22,Less than 25,African-American,0,0,0,1,Low,1,F,1
Male,46,Greater than 45,Caucasian,0,0,0,6,Moderate,31,F,0
Female,49,Greater than 45,Caucasian,0,0,0,6,Moderate,56,F,1
Male,31,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,25,25 - 45,African-American,0,0,0,1,Low,1,M,0
Male,23,Less than 25,Hispanic,0,0,0,0,None,2,F,1
Female,32,25 - 45,African-American,0,0,0,5,Moderate,1,F,1
Male,52,Greater than 45,Hispanic,0,0,0,2,Low,1,M,1
Male,62,Greater than 45,African-American,0,0,0,8,High,1,F,1
Female,37,25 - 45,Caucasian,0,0,0,6,Moderate,111,F,1
Male,55,Greater than 45,Caucasian,0,0,0,1,Low,45,F,1
Male,31,25 - 45,Hispanic,0,0,0,8,High,61,F,0
Male,28,25 - 45,African-American,0,0,0,6,Moderate,1,M,0
Male,54,Greater than 45,Hispanic,0,0,0,2,Low,1,F,1
Male,58,Greater than 45,Hispanic,0,0,0,0,None,1,F,1
Male,78,Greater than 45,Caucasian,0,0,0,1,Low,1,M,0
Male,56,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Male,24,Less than 25,Other,0,0,0,0,None,1,F,1
Male,38,25 - 45,African-American,2,2,1,22,High,35,F,0
Male,22,Less than 25,African-American,0,0,0,1,Low,1,F,0
Male,47,Greater than 45,African-American,0,0,0,23,High,1,M,0
Male,23,Less than 25,African-American,0,0,0,0,None,1,M,0
Male,57,Greater than 45,Hispanic,0,0,0,1,Low,0,F,1
Female,38,25 - 45,Caucasian,0,0,0,2,Low,35,F,0
Male,66,Greater than 45,African-American,0,0,0,3,Low,10,F,1
Male,45,Greater than 45,Caucasian,0,0,0,8,High,0,M,0
Female,52,Greater than 45,Other,0,0,0,0,None,,M,0
Male,32,25 - 45,African-American,0,0,0,13,High,1,F,0
Male,37,25 - 45,African-American,0,0,0,2,Low,0,M,0
Male,39,25 - 45,Caucasian,0,0,0,0,None,0,F,0
Male,26,25 - 45,African-American,0,0,0,9,High,1,F,0
Male,45,Greater than 45,Caucasian,0,0,0,2,Low,1,F,1
Male,23,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,34,25 - 45,African-American,0,0,0,2,Low,1,M,1
Female,23,Less than 25,African-American,0,0,0,1,Low,1,M,1
Male,36,25 - 45,Other,0,0,0,2,Low,1,M,0
Male,50,Greater than 45,Caucasian,0,0,0,1,Low,4,F,1
Female,37,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,44,25 - 45,Caucasian,0,0,0,4,Moderate,0,M,1
Female,35,25 - 45,African-American,0,1,0,23,High,1,F,0
Male,24,Less than 25,Other,0,0,0,5,Moderate,1,F,0
Male,26,25 - 45,African-American,0,0,0,2,Low,1,F,0
Male,27,25 - 45,African-American,0,0,0,0,None,1,M,1
Female,28,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,43,25 - 45,Caucasian,0,0,0,11,High,56,F,0
Female,28,25 - 45,Caucasian,0,0,0,7,High,1,F,0
Male,38,25 - 45,African-American,0,0,0,2,Low,1,F,1
Male,27,25 - 45,Caucasian,0,0,0,2,Low,36,M,1
Female,28,25 - 45,African-American,0,0,0,1,Low,1,F,1
Male,56,Greater than 45,Caucasian,0,0,0,7,High,1,F,0
Male,38,25 - 45,African-American,0,0,0,15,High,1,F,1
Male,28,25 - 45,African-American,0,0,0,2,Low,2147,M,1
Male,45,Greater than 45,African-American,0,0,0,3,Low,23,F,1
Male,28,25 - 45,Hispanic,0,0,0,0,None,5,M,1
Male,61,Greater than 45,Caucasian,0,0,0,1,Low,34,F,1
Female,51,Greater than 45,Caucasian,0,0,0,0,None,1,M,0
Male,51,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,36,25 - 45,Other,0,0,0,1,Low,1,M,0
Male,48,Greater than 45,African-American,0,0,0,0,None,1,F,1
Male,37,25 - 45,Caucasian,0,0,0,4,Moderate,0,F,0
Female,30,25 - 45,African-American,0,0,0,2,Low,1,F,1
Female,41,25 - 45,African-American,0,0,0,5,Moderate,1,M,1
Male,27,25 - 45,African-American,0,0,0,11,High,1,F,0
Male,37,25 - 45,African-American,0,0,0,0,None,1,M,1
Male,33,25 - 45,Other,0,0,0,4,Moderate,1,F,0
Male,54,Greater than 45,African-American,0,0,0,11,High,1,F,1
Male,23,Less than 25,African-American,0,0,0,2,Low,1,F,1
Female,26,25 - 45,African-American,0,0,0,2,Low,227,F,0
Male,41,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,52,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Male,43,25 - 45,Caucasian,0,0,0,13,High,1,F,0
Male,52,Greater than 45,African-American,0,0,0,0,None,1,F,1
Male,28,25 - 45,Caucasian,0,0,0,1,Low,3,F,1
Male,30,25 - 45,African-American,0,0,2,11,High,1,M,0
Male,28,25 - 45,Caucasian,0,0,0,1,Low,0,F,1
Male,22,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,30,25 - 45,African-American,0,0,0,4,Moderate,0,F,1
Male,25,25 - 45,Hispanic,0,0,0,4,Moderate,0,F,1
Male,31,25 - 45,Caucasian,0,0,0,0,None,1,F,0
Male,37,25 - 45,Caucasian,0,0,0,0,None,1,F,0
Male,32,25 - 45,African-American,0,1,0,14,High,1,F,1
Male,26,25 - 45,African-American,0,1,0,4,Moderate,1562,M,1
Male,53,Greater than 45,Caucasian,0,0,0,1,Low,1,M,1
Male,28,25 - 45,African-American,0,0,0,25,High,70,F,0
Male,44,25 - 45,Caucasian,0,0,0,8,High,1,M,0
Male,25,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,22,Less than 25,Caucasian,0,0,1,1,Low,0,M,0
Female,37,25 - 45,Other,0,0,0,0,None,2,M,1
Female,40,25 - 45,Other,0,0,0,3,Low,1,F,1
Male,36,25 - 45,Caucasian,0,0,0,8,High,0,F,0
Male,30,25 - 45,Caucasian,0,0,0,4,Moderate,140,F,1
Male,22,Less than 25,African-American,0,0,0,3,Low,208,M,0
Female,24,Less than 25,Caucasian,0,0,0,1,Low,32,M,0
Male,27,25 - 45,African-American,0,0,0,3,Low,46,M,0
Female,31,25 - 45,Hispanic,0,0,0,0,None,1,M,1
Male,23,Less than 25,Hispanic,0,0,1,1,Low,1,F,0
Female,23,Less than 25,Caucasian,0,0,4,5,Moderate,1,F,0
Male,24,Less than 25,Hispanic,0,0,0,0,None,3,M,1
Male,29,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,20,Less than 25,African-American,0,0,0,1,Low,1,F,0
Male,30,25 - 45,African-American,0,0,0,2,Low,1,F,0
Male,39,25 - 45,Other,0,0,0,0,None,1,F,1
Male,27,25 - 45,African-American,0,0,0,4,Moderate,1,F,1
Male,31,25 - 45,Caucasian,0,0,0,2,Low,1016,M,1
Female,37,25 - 45,African-American,0,0,0,2,Low,0,F,1
Male,20,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,22,Less than 25,Hispanic,0,0,1,0,None,0,F,1
Female,52,Greater than 45,African-American,0,0,0,0,None,1,F,1
Female,23,Less than 25,African-American,0,0,0,0,None,1,F,0
Female,48,Greater than 45,African-American,0,0,0,0,None,1,F,1
Male,66,Greater than 45,African-American,0,0,0,8,High,562,F,0
Male,25,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,27,25 - 45,Caucasian,0,0,0,0,None,1,F,0
Male,30,25 - 45,African-American,0,0,0,11,High,0,F,0
Male,22,Less than 25,African-American,0,1,1,3,Low,1,M,0
Female,22,Less than 25,Caucasian,0,0,0,1,Low,1,F,1
Male,35,25 - 45,African-American,0,0,0,2,Low,1,F,1
Male,32,25 - 45,Caucasian,0,0,0,2,Low,232,F,1
Female,41,25 - 45,African-American,0,0,0,2,Low,1,M,1
Female,25,25 - 45,Other,0,0,0,0,None,1,F,1
Male,44,25 - 45,African-American,0,0,0,24,High,31,M,1
Male,52,Greater than 45,African-American,0,0,0,3,Low,1,F,0
Male,43,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,37,25 - 45,Caucasian,0,0,0,3,Low,4,F,1
Male,28,25 - 45,African-American,0,0,0,3,Low,100,M,0
Male,70,Greater than 45,Caucasian,0,0,0,1,Low,13,M,1
Male,54,Greater than 45,Caucasian,0,0,0,6,Moderate,322,F,0
Male,46,Greater than 45,Caucasian,0,0,0,3,Low,1,F,1
Male,21,Less than 25,African-American,0,0,0,0,None,1,M,0
Male,26,25 - 45,African-American,0,0,0,1,Low,1,M,0
Male,38,25 - 45,Hispanic,0,0,0,3,Low,82,F,0
Male,34,25 - 45,Caucasian,0,0,0,5,Moderate,1,M,1
Male,19,Less than 25,African-American,0,0,0,1,Low,48,F,0
Male,34,25 - 45,African-American,0,0,0,5,Moderate,1,M,1
Male,23,Less than 25,Caucasian,0,0,0,0,None,1,F,0
Male,34,25 - 45,African-American,0,0,0,5,Moderate,1,F,0
Male,30,25 - 45,African-American,0,0,0,2,Low,83,F,1
Male,39,25 - 45,African-American,0,0,0,6,Moderate,1,F,0
Male,24,Less than 25,Other,0,0,0,0,None,1,F,1
Male,33,25 - 45,Caucasian,0,0,0,1,Low,93,M,0
Male,58,Greater than 45,Caucasian,0,0,0,2,Low,1,F,1
Female,21,Less than 25,African-American,0,0,0,0,None,0,M,1
Male,21,Less than 25,African-American,0,0,0,1,Low,36,F,1
Male,23,Less than 25,African-American,0,0,1,4,Moderate,11,M,0
Male,62,Greater than 45,Caucasian,0,0,0,0,None,0,F,1
Male,27,25 - 45,African-American,1,0,1,4,Moderate,707,M,0
Male,37,25 - 45,Caucasian,0,0,0,5,Moderate,1,F,1
Male,43,25 - 45,Other,0,0,0,2,Low,1,F,0
Female,32,25 - 45,African-American,0,0,0,5,Moderate,2,F,1
Male,23,Less than 25,Hispanic,0,0,0,0,None,1,F,1
Male,27,25 - 45,African-American,0,0,0,0,None,1,M,1
Male,44,25 - 45,Caucasian,0,0,0,0,None,1,M,0
Male,28,25 - 45,Caucasian,0,0,0,3,Low,1,M,0
Female,42,25 - 45,Caucasian,0,0,0,0,None,3,F,1
Male,24,Less than 25,Other,0,1,0,9,High,1,F,0
Male,27,25 - 45,African-American,0,0,0,0,None,0,F,1
Male,20,Less than 25,African-American,0,0,0,0,None,1,F,0
Female,51,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,56,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,29,25 - 45,African-American,0,0,0,7,High,1,F,1
Male,20,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,53,Greater than 45,Caucasian,0,0,0,6,Moderate,176,F,1
Male,27,25 - 45,Caucasian,0,0,0,8,High,1,F,1
Male,24,Less than 25,African-American,0,1,0,2,Low,1,F,0
Male,53,Greater than 45,Caucasian,0,0,0,36,High,7,F,0
Male,28,25 - 45,Caucasian,0,0,0,2,Low,1,M,0
Male,45,Greater than 45,African-American,0,0,0,1,Low,1,F,1
Male,21,Less than 25,Hispanic,0,1,0,3,Low,22,F,1
Female,36,25 - 45,African-American,0,0,0,0,None,1,F,1
Female,25,25 - 45,Caucasian,0,0,0,2,Low,2,M,0
Female,23,Less than 25,Hispanic,0,0,0,1,Low,1,M,1
Male,28,25 - 45,Caucasian,0,0,0,1,Low,4,F,1
Female,21,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,36,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,24,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,28,25 - 45,African-American,0,0,0,3,Low,862,F,0
Male,30,25 - 45,Other,0,0,0,1,Low,1,F,0
Male,29,25 - 45,African-American,0,0,0,0,None,1,F,1
Female,30,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,51,Greater than 45,Hispanic,0,0,0,1,Low,2,M,1
Male,33,25 - 45,Other,0,0,0,3,Low,94,F,1
Female,25,25 - 45,African-American,0,0,0,2,Low,86,F,1
Male,32,25 - 45,African-American,0,1,0,12,High,1,F,0
Male,23,Less than 25,African-American,0,0,1,1,Low,1,F,1
Male,47,Greater than 45,African-American,0,0,0,3,Low,0,F,1
Female,32,25 - 45,Hispanic,0,0,0,1,Low,80,F,0
Male,37,25 - 45,Caucasian,0,0,0,0,None,0,F,1
Male,19,Less than 25,African-American,0,2,0,2,Low,1,F,0
Male,27,25 - 45,Hispanic,0,0,0,0,None,1,M,1
Male,39,25 - 45,Other,0,0,0,0,None,1,M,1
Female,21,Less than 25,Caucasian,0,0,2,0,None,0,F,1
Male,69,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,21,Less than 25,Caucasian,0,0,0,2,Low,1,F,1
Male,26,25 - 45,African-American,0,0,1,6,Moderate,0,M,0
Male,22,Less than 25,Caucasian,0,0,0,0,None,3,F,1
Female,23,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,49,Greater than 45,African-American,0,0,0,3,Low,1,F,1
Male,29,25 - 45,African-American,0,0,1,2,Low,1,M,1
Female,60,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,26,25 - 45,African-American,0,0,0,0,None,,M,1
Male,23,Less than 25,African-American,2,0,0,3,Low,1,F,0
Male,34,25 - 45,Hispanic,0,0,0,2,Low,271,M,0
Female,20,Less than 25,Other,1,0,0,1,Low,21,F,1
Male,36,25 - 45,Hispanic,0,0,0,1,Low,1,F,1
Male,30,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,21,Less than 25,African-American,0,1,0,1,Low,2,F,1
Male,22,Less than 25,Caucasian,0,0,0,2,Low,1,M,0
Male,57,Greater than 45,African-American,0,0,0,18,High,1834,F,1
Male,21,Less than 25,African-American,0,0,0,4,Moderate,0,F,0
Male,21,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,34,25 - 45,Caucasian,0,0,0,1,Low,0,M,1
Female,50,Greater than 45,Caucasian,0,0,0,1,Low,1,M,0
Male,40,25 - 45,Caucasian,0,0,0,0,None,1,F,0
Male,25,25 - 45,African-American,0,0,0,7,High,1,F,0
Female,53,Greater than 45,Caucasian,0,0,0,1,Low,1,M,1
Female,24,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,42,25 - 45,African-American,0,0,0,1,Low,13,F,1
Male,28,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,24,Less than 25,Caucasian,0,0,0,1,Low,37,M,1
Male,26,25 - 45,African-American,1,1,0,6,Moderate,1,F,0
Male,22,Less than 25,African-American,0,0,0,4,Moderate,1,F,0
Male,21,Less than 25,Caucasian,0,0,0,3,Low,8,M,1
Male,37,25 - 45,African-American,0,0,0,23,High,1,F,0
Male,35,25 - 45,African-American,0,0,0,2,Low,1,F,1
Male,53,Greater than 45,African-American,0,0,0,2,Low,1,F,1
Male,60,Greater than 45,African-American,0,0,0,1,Low,1183,F,1
Male,29,25 - 45,African-American,0,0,0,7,High,1,F,1
Male,48,Greater than 45,Caucasian,1,0,0,23,High,1,F,0
Female,52,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,27,25 - 45,African-American,0,0,0,12,High,1,F,0
Male,28,25 - 45,African-American,0,0,0,5,Moderate,0,F,1
Male,33,25 - 45,Caucasian,0,0,0,3,Low,1,M,1
Female,28,25 - 45,Hispanic,0,0,0,0,None,1,F,1
Male,47,Greater than 45,Caucasian,0,0,0,5,Moderate,312,F,0
Male,36,25 - 45,African-American,0,0,0,14,High,1,F,0
Male,29,25 - 45,African-American,1,0,0,2,Low,1,F,1
Male,22,Less than 25,African-American,0,0,1,0,None,0,M,0
Male,26,25 - 45,African-American,0,0,2,6,Moderate,35,F,1
Male,25,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,68,Greater than 45,Caucasian,0,0,0,2,Low,150,F,1
Male,56,Greater than 45,African-American,0,0,0,5,Moderate,1,F,1
Male,27,25 - 45,African-American,0,0,0,9,High,1,F,0
Male,52,Greater than 45,Caucasian,0,0,0,4,Moderate,1,F,0
Male,32,25 - 45,African-American,0,0,0,3,Low,1,F,1
Male,60,Greater than 45,Other,0,0,0,4,Moderate,1,F,1
Male,23,Less than 25,Hispanic,0,0,0,1,Low,5,M,1
Female,39,25 - 45,Caucasian,0,0,0,0,None,2,M,1
Male,56,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,22,Less than 25,African-American,0,0,0,0,None,1,F,1
Female,27,25 - 45,African-American,0,0,0,1,Low,31,F,0
Male,53,Greater than 45,African-American,0,0,0,11,High,1,F,1
Male,25,25 - 45,Caucasian,0,0,0,0,None,0,M,0
Male,21,Less than 25,Hispanic,0,0,0,0,None,0,M,1
Male,22,Less than 25,Caucasian,0,0,0,0,None,1,F,1
Female,58,Greater than 45,Caucasian,0,0,0,2,Low,23,M,1
Male,31,25 - 45,African-American,0,0,0,7,High,1,M,0
Male,22,Less than 25,Caucasian,0,0,0,1,Low,1,F,0
